,date_occured,time_occured,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude
22476,1983-12-05,05:00,kent,wa,us,unknown,1,1 second,An object shot across the sky&#44 came to a stop&#44 continued on and burned out.  Looked just like a shooting start except that it stopped.,1999-08-30,47.3811111,-122.2336111
22477,1985-12-05,05:00,manaus-amazonas (brazil),al,,egg,600,10:00,this case happen to me and my brother my english is not so good but i will try to tell you &#44what happen  that night. I was sleeping in,2007-08-07,-3.086529,-60.052321
22826,1952-12-06,19:00,chicago,il,us,other,45,45 sec.,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,2001-02-18,41.8500000,-87.65
22827,1967-12-06,03:30,broadview heights,oh,us,light,20,20 seconds,Saw descending star-shaped object&#44 slow&#44 bright&#44 no trails&#44 no explosion&#44 twice in 15 years.,2004-08-11,41.3138889,-81.6852778
22828,1976-12-06,05:30,davie,fl,us,changing,2400,40 minutes,I have checked your log report and found that the sighting I reported shortly after December 6&#44 1976&#44 was not filed. I am dismayed but,2005-06-20,26.0625000,-80.2333333
22829,1984-01-26,19:30,rolla,mo,us,light,120,1-2 minutes,Strange yellowish lights seen southeast of Rolla&#44 Missouri,2007-04-27,37.9513889,-91.77111109999998
22830,1987-12-06,02:00,newcastle (australia),,au,circle,300,5 min,stop up hill in car take photo of car and this was on film zoomed in on computer 19 years later and seen this looks like ufo over car w,2006-10-30,-32.927792,151.78448500000002
22831,1988-01-26,23:00,sydney (nsw&#44 australia),,au,cigar,180,3 minutes,UFO Encounter Close 26th January 1988  Pre Olympic Site Sydney 2000 .,2004-04-27,-33.861481,151.205475
23115,1975-12-07,11:45,jacksonville,fl,us,triangle,300,3-5 minutes,WHILE WALKING ON ATLANTIC BOULEVARD IN JACKSONVILLE I WITNESSED A BOOMERANG SHAPED OBJECT ALMOST COLLIDE WITH A COMMERCIAL AIRLINER,1999-01-28,30.3319444,-81.6558333
23116,1982-12-07,14:24,pickering (canada),on,ca,disk,180,3 minutes,A white object like a dinner plate was going on on to west side of our housem at a very high speed and there was no smoke behind it,2000-12-02,43.866667,-79.033333
23117,1985-01-27,01:30,hermiston,or,us,other,45,45 seconds,Me and my buddies were out camping&#44 when we heard a muffled bang. We looked up and there was three bright flashes of blue light&#44 then 3,2002-02-22,45.8405556,-119.28833329999999
23416,1973-01-28,23:38,glendora,ca,us,disk,600,5-10 mins,An illuminated Saucer hovers over my back patio. The Object rises beyond a neighboring house to the South. After hovering for five min&#39,1999-12-16,34.1361111,-117.86444440000001
23417,1979-12-08,20:30,albuquerque,nm,us,circle,600,10-minutes,The night when I saw the disk UFO&#33,2007-02-01,35.0844444,-106.65055559999999
23418,1986-01-28,13:00,clarkton,nc,us,cigar,7,7 seconds,Low flying&#44 large cigar shaped craft close-up view the day of the Challenger disaster in 1986.,2010-11-21,34.4872222,-78.65638890000001
23419,1987-01-28,04:16,dunstable (uk/england),,gb,oval,14400,4 hours,Oval shaped craft dive bombed me&#33,2004-04-27,51.883333,-0.516667
23712,1965-12-09,00:00,pittsburgh,pa,us,unknown,5,5 seconds,HBCCUFO CANADIAN REPORT:  I Saw The Kecksberg UFO&#33,2003-10-31,40.4405556,-79.9961111
